,run_accession,study_accession,experiment_accession,sample_accession,secondary_sample_accession,sample_title
0,ERR13354900,PRJEB77091,ERX12725832,SAMEA115792657,ERS20510955,WSSS_F_IMMsp10864183
1,ERR13354903,PRJEB77091,ERX12725835,SAMEA115792668,ERS20510966,WSSS_F_IMMsp11604686
2,ERR13354905,PRJEB77091,ERX12725837,SAMEA115792670,ERS20510968,WSSS_F_IMMsp11604688
3,ERR13354906,PRJEB77091,ERX12725838,SAMEA115792671,ERS20510969,WSSS_F_IMMsp11604689
4,ERR13386013,PRJEB77091,ERX12756801,SAMEA115854442,ERS20601041,TA9260014
5,ERR13386015,PRJEB77091,ERX12756803,SAMEA115854442,ERS20601041,TA9260014
6,ERR13386018,PRJEB77091,ERX12756806,SAMEA115854443,ERS20601042,TA9260015
7,ERR13386020,PRJEB77091,ERX12756808,SAMEA115854444,ERS20601043,TA9260016
8,ERR13386025,PRJEB77091,ERX12756813,SAMEA115854445,ERS20601044,TA9260017
9,ERR13386026,PRJEB77091,ERX12756814,SAMEA115854445,ERS20601044,TA9260017
10,ERR13386029,PRJEB77091,ERX12756817,SAMEA115854447,ERS20601046,TA10211546
11,ERR13386033,PRJEB77091,ERX12756821,SAMEA115846386,ERS20592940,TA11486162
12,ERR13354898,PRJEB77091,ERX12725830,SAMEA115792641,ERS20510939,WSSS_F_IMMsp9838711
13,ERR13354901,PRJEB77091,ERX12725833,SAMEA115792657,ERS20510955,WSSS_F_IMMsp10864183
14,ERR13354904,PRJEB77091,ERX12725836,SAMEA115792669,ERS20510967,WSSS_F_IMMsp11604687
15,ERR13354907,PRJEB77091,ERX12725839,SAMEA115792672,ERS20510970,WSSS_F_IMMsp11604690
16,ERR13354908,PRJEB77091,ERX12725840,SAMEA115792679,ERS20510977,WSSS_F_IMMsp11765867
17,ERR13386009,PRJEB77091,ERX12756797,SAMEA115854446,ERS20601045,TA9260023
18,ERR13386010,PRJEB77091,ERX12756798,SAMEA115854446,ERS20601045,TA9260023
19,ERR13386012,PRJEB77091,ERX12756800,SAMEA115854442,ERS20601041,TA9260014
20,ERR13386016,PRJEB77091,ERX12756804,SAMEA115854443,ERS20601042,TA9260015
21,ERR13386017,PRJEB77091,ERX12756805,SAMEA115854443,ERS20601042,TA9260015
22,ERR13386021,PRJEB77091,ERX12756809,SAMEA115854444,ERS20601043,TA9260016
23,ERR13386024,PRJEB77091,ERX12756812,SAMEA115854445,ERS20601044,TA9260017
24,ERR13386027,PRJEB77091,ERX12756815,SAMEA115854445,ERS20601044,TA9260017
25,ERR13386031,PRJEB77091,ERX12756819,SAMEA115854447,ERS20601046,TA10211546
26,ERR13386037,PRJEB77091,ERX12756825,SAMEA115846393,ERS20592947,TA11556493
27,ERR13386039,PRJEB77091,ERX12756827,SAMEA115846395,ERS20592949,TA11556495
28,ERR13386040,PRJEB77091,ERX12756828,SAMEA115846396,ERS20592950,TA11556496
29,ERR13354899,PRJEB77091,ERX12725831,SAMEA115792645,ERS20510943,WSSS_F_IMMsp9838716
30,ERR13354902,PRJEB77091,ERX12725834,SAMEA115792667,ERS20510965,WSSS_F_IMMsp11604685
31,ERR13354909,PRJEB77091,ERX12725841,SAMEA115792680,ERS20510978,WSSS_F_IMMsp11765868
32,ERR13354910,PRJEB77091,ERX12725842,SAMEA115792682,ERS20510980,WSSS_F_IMMsp11765870
33,ERR13386008,PRJEB77091,ERX12756796,SAMEA115854446,ERS20601045,TA9260023
34,ERR13386011,PRJEB77091,ERX12756799,SAMEA115854446,ERS20601045,TA9260023
35,ERR13386014,PRJEB77091,ERX12756802,SAMEA115854442,ERS20601041,TA9260014
36,ERR13386019,PRJEB77091,ERX12756807,SAMEA115854443,ERS20601042,TA9260015
37,ERR13386022,PRJEB77091,ERX12756810,SAMEA115854444,ERS20601043,TA9260016
38,ERR13386023,PRJEB77091,ERX12756811,SAMEA115854444,ERS20601043,TA9260016
39,ERR13386028,PRJEB77091,ERX12756816,SAMEA115854447,ERS20601046,TA10211546
40,ERR13386030,PRJEB77091,ERX12756818,SAMEA115854447,ERS20601046,TA10211546
41,ERR13386032,PRJEB77091,ERX12756820,SAMEA115846385,ERS20592939,TA11486161
42,ERR13386034,PRJEB77091,ERX12756822,SAMEA115846387,ERS20592941,TA11486163
43,ERR13386035,PRJEB77091,ERX12756823,SAMEA115846388,ERS20592942,TA11486164
44,ERR13386036,PRJEB77091,ERX12756824,SAMEA115846392,ERS20592946,TA11556492
45,ERR13386038,PRJEB77091,ERX12756826,SAMEA115846394,ERS20592948,TA11556494
