,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[individual],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[sex],Characteristics[developmental stage],Characteristics[disease],Characteristics[organism part],Characteristics[sampling site],Characteristics[protocol],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Protocol REF.3,Extract Name,Material Type.1,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[ORIENTATION],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.4,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Protocol REF.5,Protocol REF.6,Derived Array Data File,Factor Value[developmental stage],Factor Value[sampling site],Factor Value[protocol]
56,5891STDY8062352_CS_TCR,ERS20107594,SAMEA115651501,Homo sapiens,HDBR14804,22,week,EFO,UO_0000034,male,22nd week post-fertilization human stage,normal,lung,distal lung,10x TCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143753,P-MTAB-143755,5891STDY8062352_CS_TCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x TCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062352_CS_TCR,sequencing assay,ERX12519411,5891STDY8062336_S1_L001_I2_001.fastq.gz,5891STDY8062336_S1_L001_I2_001.fastq.gz,ERR13148126,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148126/5891STDY8062336_S1_L001_I2_001.fastq.gz,sample_barcode,index2,P-MTAB-143756,P-MTAB-143757,5891STDY8062336.tar.gz,22nd week post-fertilization human stage,distal lung,10x TCR enrichment
57,5891STDY8062352_CS_TCR,ERS20107594,SAMEA115651501,Homo sapiens,HDBR14804,22,week,EFO,UO_0000034,male,22nd week post-fertilization human stage,normal,lung,distal lung,10x TCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143753,P-MTAB-143755,5891STDY8062352_CS_TCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x TCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062352_CS_TCR,sequencing assay,ERX12519411,5891STDY8062336_S1_L001_R1_001.fastq.gz,5891STDY8062336_S1_L001_R1_001.fastq.gz,ERR13148126,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148126/5891STDY8062336_S1_L001_R1_001.fastq.gz,"feature_barcode, umi_barcode",read1,P-MTAB-143756,P-MTAB-143757,5891STDY8062336.tar.gz,22nd week post-fertilization human stage,distal lung,10x TCR enrichment
58,5891STDY8062352_CS_TCR,ERS20107594,SAMEA115651501,Homo sapiens,HDBR14804,22,week,EFO,UO_0000034,male,22nd week post-fertilization human stage,normal,lung,distal lung,10x TCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143753,P-MTAB-143755,5891STDY8062352_CS_TCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x TCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062352_CS_TCR,sequencing assay,ERX12519411,5891STDY8062336_S1_L001_I1_001.fastq.gz,5891STDY8062336_S1_L001_I1_001.fastq.gz,ERR13148126,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148126/5891STDY8062336_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-143756,P-MTAB-143757,5891STDY8062336.tar.gz,22nd week post-fertilization human stage,distal lung,10x TCR enrichment
59,5891STDY8062352_CS_TCR,ERS20107594,SAMEA115651501,Homo sapiens,HDBR14804,22,week,EFO,UO_0000034,male,22nd week post-fertilization human stage,normal,lung,distal lung,10x TCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143753,P-MTAB-143755,5891STDY8062352_CS_TCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x TCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062352_CS_TCR,sequencing assay,ERX12519411,5891STDY8062336_S1_L001_R2_001.fastq.gz,5891STDY8062336_S1_L001_R2_001.fastq.gz,ERR13148126,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148126/5891STDY8062336_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-143756,P-MTAB-143757,5891STDY8062336.tar.gz,22nd week post-fertilization human stage,distal lung,10x TCR enrichment
60,5891STDY8062353_CS_BCR,ERS20107595,SAMEA115651502,Homo sapiens,HDBR14853,15,week,EFO,UO_0000034,female,15th week post-fertilization human stage,normal,lung,proximal lung,10x BCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143754,P-MTAB-143755,5891STDY8062353_CS_BCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x BCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062353_CS_BCR,sequencing assay,ERX12519412,5891STDY8062345_S1_L001_R1_001.fastq.gz,5891STDY8062345_S1_L001_R1_001.fastq.gz,ERR13148120,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148120/5891STDY8062345_S1_L001_R1_001.fastq.gz,"feature_barcode, umi_barcode",read1,P-MTAB-143756,P-MTAB-143757,5891STDY8062345.tar.gz,15th week post-fertilization human stage,proximal lung,10x BCR enrichment
61,5891STDY8062353_CS_BCR,ERS20107595,SAMEA115651502,Homo sapiens,HDBR14853,15,week,EFO,UO_0000034,female,15th week post-fertilization human stage,normal,lung,proximal lung,10x BCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143754,P-MTAB-143755,5891STDY8062353_CS_BCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x BCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062353_CS_BCR,sequencing assay,ERX12519412,5891STDY8062345_S1_L001_R2_001.fastq.gz,5891STDY8062345_S1_L001_R2_001.fastq.gz,ERR13148120,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148120/5891STDY8062345_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-143756,P-MTAB-143757,5891STDY8062345.tar.gz,15th week post-fertilization human stage,proximal lung,10x BCR enrichment
62,5891STDY8062353_CS_BCR,ERS20107595,SAMEA115651502,Homo sapiens,HDBR14853,15,week,EFO,UO_0000034,female,15th week post-fertilization human stage,normal,lung,proximal lung,10x BCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143754,P-MTAB-143755,5891STDY8062353_CS_BCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x BCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062353_CS_BCR,sequencing assay,ERX12519412,5891STDY8062345_S1_L001_I1_001.fastq.gz,5891STDY8062345_S1_L001_I1_001.fastq.gz,ERR13148120,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148120/5891STDY8062345_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-143756,P-MTAB-143757,5891STDY8062345.tar.gz,15th week post-fertilization human stage,proximal lung,10x BCR enrichment
63,5891STDY8062353_CS_BCR,ERS20107595,SAMEA115651502,Homo sapiens,HDBR14853,15,week,EFO,UO_0000034,female,15th week post-fertilization human stage,normal,lung,proximal lung,10x BCR enrichment,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-143754,P-MTAB-143755,5891STDY8062353_CS_BCR,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',,,,,,,5 prime tag,polyA RNA,10x BCR enrichment,oligo-dT,,,,10x technology,none,,,,P-MTAB-117818,Wellcome Sanger,5891STDY8062353_CS_BCR,sequencing assay,ERX12519412,5891STDY8062345_S1_L001_I2_001.fastq.gz,5891STDY8062345_S1_L001_I2_001.fastq.gz,ERR13148120,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148120/5891STDY8062345_S1_L001_I2_001.fastq.gz,sample_barcode,index2,P-MTAB-143756,P-MTAB-143757,5891STDY8062345.tar.gz,15th week post-fertilization human stage,proximal lung,10x BCR enrichment
64,5891STDY8062353_CS_GEX,ERS20107596,SAMEA115651503,Homo sapiens,HDBR14853,15,week,EFO,UO_0000034,female,15th week post-fertilization human stage,normal,lung,proximal lung,10x 5' v1,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-117817,P-MTAB-143755,5891STDY8062353_CS_GEX,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',read2,0.0,91.0,0.0,read1,16.0,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0.0,index1,8.0,10x technology,none,16.0,read1,10.0,P-MTAB-117819,Wellcome Sanger,5891STDY8062353_CS_GEX,sequencing assay,ERX12519413,5891STDY8062353_S1_L001_I2_001.fastq.gz,5891STDY8062353_S1_L001_I2_001.fastq.gz,ERR13148159,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148159/5891STDY8062353_S1_L001_I2_001.fastq.gz,sample_barcode,index2,P-MTAB-143756,P-MTAB-143757,5891STDY8062353.tar.gz,15th week post-fertilization human stage,proximal lung,10x 5' v1
65,5891STDY8062353_CS_GEX,ERS20107596,SAMEA115651503,Homo sapiens,HDBR14853,15,week,EFO,UO_0000034,female,15th week post-fertilization human stage,normal,lung,proximal lung,10x 5' v1,cell,P-MTAB-117812,P-MTAB-117816,P-MTAB-117817,P-MTAB-143755,5891STDY8062353_CS_GEX,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,first strand,OTHER,5'-3'-3'-5',read2,0.0,91.0,0.0,read1,16.0,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0.0,index1,8.0,10x technology,none,16.0,read1,10.0,P-MTAB-117819,Wellcome Sanger,5891STDY8062353_CS_GEX,sequencing assay,ERX12519413,5891STDY8062353_S1_L001_R1_001.fastq.gz,5891STDY8062353_S1_L001_R1_001.fastq.gz,ERR13148159,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13148159/5891STDY8062353_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-143756,P-MTAB-143757,5891STDY8062353.tar.gz,15th week post-fertilization human stage,proximal lung,10x 5' v1
