,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[developmental stage],Characteristics[individual],Characteristics[organism part],Material Type,Protocol REF,Performer,Protocol REF.1,Performer.1,Protocol REF.2,Performer.2,Extract Name,Material Type.1,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[ORIENTATION],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.3,Performer.3,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Protocol REF.4,Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Factor Value[organism part],Factor Value[single cell identifier]
43,Human_colon_16S7985393,ERS23679620,SAMEA117739744,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985393,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985393_S1_L001,sequencing assay,ERX14049193,P-MTAB-151496,Human_colon_16S7985393_S1_L001_R1_001.fastq.gz,Human_colon_16S7985393_S1_L001_R1_001.fastq.gz,ERR14648065,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648065/Human_colon_16S7985393_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,small intestine,F67-FPI-0-SC-1
44,Human_colon_16S7985393,ERS23679620,SAMEA117739744,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985393,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985393_S1_L001,sequencing assay,ERX14049193,P-MTAB-151496,Human_colon_16S7985393_S1_L001_R2_001.fastq.gz,Human_colon_16S7985393_S1_L001_R2_001.fastq.gz,ERR14648065,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648065/Human_colon_16S7985393_S1_L001_R2_001.fastq.gz,single,read2,small intestine,F67-FPI-0-SC-1
45,Human_colon_16S7985394,ERS23679621,SAMEA117739745,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985394,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985394_S1_L001,sequencing assay,ERX14049194,P-MTAB-151496,Human_colon_16S7985394_S1_L001_I1_001.fastq.gz,Human_colon_16S7985394_S1_L001_I1_001.fastq.gz,ERR14648056,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648056/Human_colon_16S7985394_S1_L001_I1_001.fastq.gz,sample_barcode,index1,small intestine,F67-FMI-0-SC-1
46,Human_colon_16S7985394,ERS23679621,SAMEA117739745,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985394,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985394_S1_L001,sequencing assay,ERX14049194,P-MTAB-151496,Human_colon_16S7985394_S1_L001_R1_001.fastq.gz,Human_colon_16S7985394_S1_L001_R1_001.fastq.gz,ERR14648056,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648056/Human_colon_16S7985394_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,small intestine,F67-FMI-0-SC-1
47,Human_colon_16S7985394,ERS23679621,SAMEA117739745,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985394,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985394_S1_L001,sequencing assay,ERX14049194,P-MTAB-151496,Human_colon_16S7985394_S1_L001_R2_001.fastq.gz,Human_colon_16S7985394_S1_L001_R2_001.fastq.gz,ERR14648056,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648056/Human_colon_16S7985394_S1_L001_R2_001.fastq.gz,single,read2,small intestine,F67-FMI-0-SC-1
48,Human_colon_16S7985395,ERS23679622,SAMEA117739746,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,large intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985395,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985395_S1_L001,sequencing assay,ERX14049195,P-MTAB-151496,Human_colon_16S7985395_S1_L001_I1_001.fastq.gz,Human_colon_16S7985395_S1_L001_I1_001.fastq.gz,ERR14648068,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648068/Human_colon_16S7985395_S1_L001_I1_001.fastq.gz,sample_barcode,index1,large intestine,F67-FLI-0-SC-1
49,Human_colon_16S7985395,ERS23679622,SAMEA117739746,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,large intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985395,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985395_S1_L001,sequencing assay,ERX14049195,P-MTAB-151496,Human_colon_16S7985395_S1_L001_R1_001.fastq.gz,Human_colon_16S7985395_S1_L001_R1_001.fastq.gz,ERR14648068,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648068/Human_colon_16S7985395_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,large intestine,F67-FLI-0-SC-1
50,Human_colon_16S7985395,ERS23679622,SAMEA117739746,Homo sapiens,12.0,week,EFO,UO_0000034,embryo,F67,large intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S7985395,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S7985395_S1_L001,sequencing assay,ERX14049195,P-MTAB-151496,Human_colon_16S7985395_S1_L001_R2_001.fastq.gz,Human_colon_16S7985395_S1_L001_R2_001.fastq.gz,ERR14648068,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648068/Human_colon_16S7985395_S1_L001_R2_001.fastq.gz,single,read2,large intestine,F67-FLI-0-SC-1
51,Human_colon_16S8159182,ERS23679623,SAMEA117739747,Homo sapiens,16.0,week,EFO,UO_0000034,embryo,F72,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S8159182,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S8159182_S1_L001,sequencing assay,ERX14049196,P-MTAB-151496,Human_colon_16S8159182_S1_L001_I1_001.fastq.gz,Human_colon_16S8159182_S1_L001_I1_001.fastq.gz,ERR14648069,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648069/Human_colon_16S8159182_S1_L001_I1_001.fastq.gz,sample_barcode,index1,small intestine,F72-FPI-0-SC-1
52,Human_colon_16S8159182,ERS23679623,SAMEA117739747,Homo sapiens,16.0,week,EFO,UO_0000034,embryo,F72,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",Human_colon_16S8159182,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,Human_colon_16S8159182_S1_L001,sequencing assay,ERX14049196,P-MTAB-151496,Human_colon_16S8159182_S1_L001_R1_001.fastq.gz,Human_colon_16S8159182_S1_L001_R1_001.fastq.gz,ERR14648069,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648069/Human_colon_16S8159182_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,small intestine,F72-FPI-0-SC-1
