,sample_id,geo_accession
0,GSM4761442,GSE157329_embryo1-head_trunk
1,GSM4761443,GSE157329_embryo1-head_trunk
2,GSM4761444,GSE157329_embryo1-head_trunk
3,GSM4761445,GSE157329_embryo1-head_trunk
4,GSM4761446,GSE157329_embryo1-tail_viscera
5,GSM4761447,GSE157329_embryo1-tail_viscera
6,GSM4761448,GSE157329_embryo1-tail_viscera
7,GSM4761449,GSE157329_embryo1-tail_viscera
8,GSM4761450,GSE157329_embryo2-head
9,GSM4761451,GSE157329_embryo2-head
10,GSM4761452,GSE157329_embryo2-head
11,GSM4761453,GSE157329_embryo2-head
12,GSM4761454,GSE157329_embryo2-trunk
13,GSM4761455,GSE157329_embryo2-trunk
14,GSM4761456,GSE157329_embryo2-trunk
15,GSM4761457,GSE157329_embryo2-trunk
16,GSM4761458,GSE157329_embryo2-trunk
17,GSM4761459,GSE157329_embryo2-trunk
18,GSM4761460,GSE157329_embryo2-trunk
19,GSM4761461,GSE157329_embryo2-trunk
20,GSM4761462,GSE157329_embryo2-viscera
21,GSM4761463,GSE157329_embryo2-viscera
22,GSM4761464,GSE157329_embryo2-viscera
23,GSM4761465,GSE157329_embryo2-viscera
24,GSM4761466,GSE157329_embryo2-viscera
25,GSM4761467,GSE157329_embryo2-viscera
26,GSM4761468,GSE157329_embryo2-viscera
27,GSM4761469,GSE157329_embryo2-viscera
28,GSM4761470,GSE157329_embryo2-limb
29,GSM4761471,GSE157329_embryo2-limb
30,GSM4761472,GSE157329_embryo2-limb
31,GSM4761473,GSE157329_embryo2-limb
32,GSM4761474,GSE157329_embryo2-limb
33,GSM4761475,GSE157329_embryo2-limb
34,GSM4761476,GSE157329_embryo2-limb
35,GSM4761477,GSE157329_embryo2-limb
36,GSM4761478,GSE157329_Emb.05-head
37,GSM4761479,GSE157329_Emb.05-head
38,GSM4761480,GSE157329_Emb.05-head
39,GSM4761481,GSE157329_Emb.05-head
40,GSM4761482,GSE157329_Emb.05-trunk
41,GSM4761483,GSE157329_Emb.05-trunk
42,GSM4761484,GSE157329_Emb.05-trunk
43,GSM4761485,GSE157329_Emb.05-trunk
44,GSM4761486,GSE157329_Emb.05-limb_viscera
45,GSM4761487,GSE157329_Emb.05-limb_viscera
46,GSM4761488,GSE157329_Emb.05-limb_viscera
47,GSM4761489,GSE157329_Emb.05-limb_viscera
48,GSM4761490,GSE157329_Emb.05-viscera_limb
49,GSM4761491,GSE157329_Emb.05-viscera_limb
50,GSM4761492,GSE157329_Emb.05-viscera_limb
51,GSM4761493,GSE157329_Emb.05-viscera_limb
52,GSM4761494,GSE157329_Emb.06-head_a
53,GSM4761495,GSE157329_Emb.06-head_a
54,GSM4761496,GSE157329_Emb.06-head_a
55,GSM4761497,GSE157329_Emb.06-head_a
56,GSM4761498,GSE157329_Emb.06-head_a
57,GSM4761499,GSE157329_Emb.06-head_a
58,GSM4761500,GSE157329_Emb.06-head_a
59,GSM4761501,GSE157329_Emb.06-head_a
60,GSM4761502,GSE157329_Emb.06-head_b
61,GSM4761503,GSE157329_Emb.06-head_b
62,GSM4761504,GSE157329_Emb.06-head_b
63,GSM4761505,GSE157329_Emb.06-head_b
64,GSM4761506,GSE157329_Emb.06-head_b
65,GSM4761507,GSE157329_Emb.06-head_b
66,GSM4761508,GSE157329_Emb.06-head_b
67,GSM4761509,GSE157329_Emb.06-head_b
68,GSM4761510,GSE157329_Emb.06-head_b
69,GSM4761511,GSE157329_Emb.06-head_b
70,GSM4761512,GSE157329_Emb.06-head_b
71,GSM4761513,GSE157329_Emb.06-head_b
72,GSM4761514,GSE157329_Emb.06-trunk
73,GSM4761515,GSE157329_Emb.06-trunk
74,GSM4761516,GSE157329_Emb.06-trunk
75,GSM4761517,GSE157329_Emb.06-trunk
76,GSM4761518,GSE157329_Emb.06-trunk
77,GSM4761519,GSE157329_Emb.06-trunk
78,GSM4761520,GSE157329_Emb.06-trunk
79,GSM4761521,GSE157329_Emb.06-trunk
80,GSM4761522,GSE157329_Emb.06-trunk
81,GSM4761523,GSE157329_Emb.06-trunk
82,GSM4761524,GSE157329_Emb.06-trunk
83,GSM4761525,GSE157329_Emb.06-trunk
84,GSM4761526,GSE157329_Emb.06-limb
85,GSM4761527,GSE157329_Emb.06-limb
86,GSM4761528,GSE157329_Emb.06-limb
87,GSM4761529,GSE157329_Emb.06-limb
88,GSM4761530,GSE157329_Emb.06-limb
89,GSM4761531,GSE157329_Emb.06-limb
90,GSM4761532,GSE157329_Emb.06-limb
91,GSM4761533,GSE157329_Emb.06-limb
92,GSM4761534,GSE157329_Emb.06-limb
93,GSM4761535,GSE157329_Emb.06-limb
94,GSM4761536,GSE157329_Emb.06-limb
95,GSM4761537,GSE157329_Emb.06-limb
96,GSM4761538,GSE157329_Emb.07-limb_viscera
97,GSM4761539,GSE157329_Emb.07-limb_viscera
98,GSM4761540,GSE157329_Emb.07-limb_viscera
99,GSM4761541,GSE157329_Emb.07-limb_viscera
100,GSM4761542,GSE157329_Emb.07-viscera
101,GSM4761543,GSE157329_Emb.07-viscera
102,GSM4761544,GSE157329_Emb.07-viscera
103,GSM4761545,GSE157329_Emb.07-viscera
104,GSM6454897,GSE157329_Emb.03-trunk
105,GSM6454898,GSE157329_Emb.03-viscera
106,GSM6454899,GSE157329_Emb.03-limb
107,GSM6454900,GSE157329_Emb.04-head
108,GSM6454901,GSE157329_Emb.04-trunk
109,GSM6454902,GSE157329_Emb.04-viscera
110,GSM6454903,GSE157329_Emb.04-limb
