,EGAD,EGAF,EGAX,EGAN,AUTHOR_ID,LIBRARY_TYPE,DESCRIPTION
0,EGAD00001006049,EGAF00003058084,EGAX00002039600,EGAN00002408224,10X210_2,,XDD:358_Hippocampus_11.5w
1,EGAD00001006049,EGAF00003058085,EGAX00002039601,EGAN00002408223,10X210_3,,XDD:358_Mesencephalon_11.5w
2,EGAD00001006049,EGAF00003058086,EGAX00002039602,EGAN00002408222,10X210_4,,XDD:358_Mesencephalon_11.5w
3,EGAD00001006049,EGAF00003058087,EGAX00002039604,EGAN00002408220,10X210_6,,XDD:358_Pons_11.5w
4,EGAD00001006049,EGAF00003058088,EGAX00002039614,EGAN00002408210,10X212_3,,XDD:359_Frontotemporal_cortex_12.9w
5,EGAD00001006049,EGAF00003058089,EGAX00002039564,EGAN00002408178,10X97_3,,BRC2021_Ventral_midbrain_8w
6,EGAD00001006049,EGAF00003058090,EGAX00002039573,EGAN00002408200,10X89_1,,BRC2006_Cortex_8w
7,EGAD00001006049,EGAF00003058091,EGAX00002039556,EGAN00002408145,10X101_2,,XHU:297_Cortex_10w
8,EGAD00001006049,EGAF00003058092,EGAX00002039559,EGAN00002408142,10X101_5,,XHU:297_Forebrain_10w
9,EGAD00001006049,EGAF00003058093,EGAX00002039603,EGAN00002408221,10X210_5,,XDD:358_Pons_11.5w
10,EGAD00001006049,EGAF00003058094,EGAX00002039606,EGAN00002408218,10X210_8,,XDD:358_Subcortical_forebrain_11.5w
11,EGAD00001006049,EGAF00003058095,EGAX00002039611,EGAN00002408213,10X211_5,,XDD:358_Subcortical_forebrain_11.5w
12,EGAD00001006049,EGAF00003058096,EGAX00002039575,EGAN00002408198,10X89_3,,BRC2006_Hypothalamus_8w
13,EGAD00001006049,EGAF00003058097,EGAX00002039577,EGAN00002408196,10X89_5,,BRC2006_Thalamus_8w
14,EGAD00001006049,EGAF00003058098,EGAX00002039592,EGAN00002408181,10X96_8,,BRC2021_Dorsal_midbrain_8w
15,EGAD00001006049,EGAF00003058099,EGAX00002039618,EGAN00002408206,10X213_1,,XDD:359_Medulla_12.9w
16,EGAD00001006049,EGAF00003058100,EGAX00002039622,EGAN00002408202,10X214_1,,XDD:359_Lung_12.9w
17,EGAD00001006049,EGAF00003058101,EGAX00002039587,EGAN00002408185,10X96_4,,BRC2021_Cerebellum_8w
18,EGAD00001006049,EGAF00003058102,EGAX00002039589,EGAN00002408184,10X96_5,,BRC2021_Cortex_8w
19,EGAD00001006049,EGAF00003058103,EGAX00002039610,EGAN00002408214,10X211_4,,XDD:358_Subcortical_forebrain_11.5w
20,EGAD00001006049,EGAF00003058104,EGAX00002039615,EGAN00002408209,10X212_4,,XDD:359_Frontotemporal_cortex_12.9w
21,EGAD00001006049,EGAF00003058105,EGAX00002039616,EGAN00002408208,10X212_5,,XDD:359_Lower_cortex_12.9w
22,EGAD00001006049,EGAF00003058106,EGAX00002039617,EGAN00002408207,10X212_6,,XDD:359_Lower_cortex_12.9w
23,EGAD00001006049,EGAF00003058107,EGAX00002039620,EGAN00002408204,10X213_3,,XDD:359_Occipital_cortex_12.9w
24,EGAD00001006049,EGAF00003058108,EGAX00002039605,EGAN00002408219,10X210_7,,XDD:358_Subcortical_forebrain_11.5w
25,EGAD00001006049,EGAF00003058109,EGAX00002039607,EGAN00002408217,10X211_1,,XDD:358_Hippocampus_11.5w
26,EGAD00001006049,EGAF00003058110,EGAX00002039608,EGAN00002408216,10X211_2,,XDD:358_Mesencephalon_11.5w
27,EGAD00001006049,EGAF00003058111,EGAX00002039612,EGAN00002408212,10X212_1,,XDD:359_Hippocampus_12.9w
28,EGAD00001006049,EGAF00003058112,EGAX00002039613,EGAN00002408211,10X212_2,,XDD:359_Hippocampus_12.9w
29,EGAD00001006049,EGAF00003058113,EGAX00002039599,EGAN00002408225,10X210_1,,XDD:358_Hippocampus_11.5w
30,EGAD00001006049,EGAF00003058114,EGAX00002039581,EGAN00002408192,10X92_1,,XHU:292_Forebrain_cortex_9.5w
31,EGAD00001006049,EGAF00003058115,EGAX00002039583,EGAN00002408190,10X92_3,,XHU:292_Subcortical_forebrain_9.5w
32,EGAD00001006049,EGAF00003058116,EGAX00002039594,EGAN00002408169,10X99_2,,BRC2021_MGE_(striatum)_8w
33,EGAD00001006049,EGAF00003058117,EGAX00002039596,EGAN00002408167,10X99_4,,BRC2021_Pons_8w
34,EGAD00001006049,EGAF00003058118,EGAX00002039597,EGAN00002408165,10X99_6,,BRC2021_Thalamus_8w
35,EGAD00001006049,EGAF00003058119,EGAX00002039619,EGAN00002408205,10X213_2,,XDD:359_Pons_12.9w
36,EGAD00001006049,EGAF00003058120,EGAX00002039621,EGAN00002408203,10X213_4,,XDD:359_Occipital_cortex_12.9w
37,EGAD00001006049,EGAF00003058121,EGAX00002039623,EGAN00002408201,10X214_2,,XDD:359_Lung_12.9w
38,EGAD00001006049,EGAF00003058122,EGAX00002039554,EGAN00002408138,10X147_5,,XDD:326_Spinal_cord_lumbar_6w
39,EGAD00001006049,EGAF00003058123,EGAX00002039677,EGAN00002408147,10X147_4,,XDD:326_Spinal_cord_cervical_6w
40,EGAD00001006049,EGAF00003058124,EGAX00002039755,EGAN00002408149,10X147_6,,XDD:326_Spinal_cord_lumbar_6w
41,EGAD00001006049,EGAF00003058125,EGAX00002039635,EGAN00002408150,10X147_7,,XDD:326_Spinal_cord_thoracic_6w
42,EGAD00001006049,EGAF00003058126,EGAX00002039655,EGAN00002408148,10X147_8,,XDD:326_Spinal_cord_thoracic_6w
43,EGAD00001006049,EGAF00003058127,EGAX00002039766,EGAN00002408151,10X148_1,,XDD:326_Medulla_6w
44,EGAD00001006049,EGAF00003058128,EGAX00002039895,EGAN00002408152,10X148_2,,XDD:326_Medulla_6w
45,EGAD00001006049,EGAF00003058129,EGAX00002039839,EGAN00002408153,10X148_3,,XDD:326_Spinal_cord_cervical_6w
46,EGAD00001006049,EGAF00003058130,EGAX00002039849,EGAN00002408154,10X148_4,,XDD:326_Spinal_cord_cervical_6w
47,EGAD00001006049,EGAF00003058131,EGAX00002039801,EGAN00002408155,10X148_5,,XDD:326_Spinal_cord_lumbar_6w
48,EGAD00001006049,EGAF00003058132,EGAX00002039818,EGAN00002408156,10X148_6,,XDD:326_Spinal_cord_lumbar_6w
49,EGAD00001006049,EGAF00003058133,EGAX00002039802,EGAN00002408157,10X148_7,,XDD:326_Spinal_cord_thoracic_6w
50,EGAD00001006049,EGAF00003058134,EGAX00002039920,EGAN00002408158,10X148_8,,XDD:326_Spinal_cord_thoracic_6w
51,EGAD00001006049,EGAF00003058135,EGAX00002039665,EGAN00002408159,10X151_1,,XDD:326_Lung_6w
52,EGAD00001006049,EGAF00003058136,EGAX00002039773,EGAN00002408160,10X151_3,,XDD:326_Heart_6w
53,EGAD00001006049,EGAF00003058137,EGAX00002039812,EGAN00002408161,10X152_1,,BRC2147_Cerebellum_6.7w
54,EGAD00001006049,EGAF00003058138,EGAX00002039714,EGAN00002408162,10X152_2,,BRC2147_Cerebellum_6.7w
55,EGAD00001006049,EGAF00003058139,EGAX00002039820,EGAN00002408163,10X152_3,,BRC2147_Diencephalon_6.7w
56,EGAD00001006049,EGAF00003058140,EGAX00002039825,EGAN00002408164,10X152_4,,BRC2147_Diencephalon_6.7w
57,EGAD00001006049,EGAF00003058141,EGAX00002039890,EGAN00002408398,10X152_5,,BRC2147_Medulla_6.7w
58,EGAD00001006049,EGAF00003058142,EGAX00002039907,EGAN00002408426,10X152_6,,BRC2147_Medulla_6.7w
59,EGAD00001006049,EGAF00003058143,EGAX00002039882,EGAN00002408400,10X152_7,,BRC2147_Medulla_6.7w
60,EGAD00001006049,EGAF00003058144,EGAX00002039688,EGAN00002408399,10X152_8,,BRC2147_Medulla_6.7w
61,EGAD00001006049,EGAF00003058145,EGAX00002039901,EGAN00002408425,10X154_1,,BRC2147_Mesencephalon_6.7w
62,EGAD00001006049,EGAF00003058146,EGAX00002039873,EGAN00002408424,10X154_2,,BRC2147_Mesencephalon_6.7w
63,EGAD00001006049,EGAF00003058147,EGAX00002039860,EGAN00002408397,10X154_3,,BRC2147_Mesencephalon_6.7w
64,EGAD00001006049,EGAF00003058148,EGAX00002039643,EGAN00002408385,10X154_4,,BRC2147_Telencephalon_6.7w
65,EGAD00001006049,EGAF00003058149,EGAX00002039627,EGAN00002408386,10X154_5,,BRC2147_Pons_6.7w
66,EGAD00001006049,EGAF00003058150,EGAX00002039674,EGAN00002408387,10X154_6,,BRC2147_Pons_6.7w
67,EGAD00001006049,EGAF00003058151,EGAX00002039557,EGAN00002408144,10X101_3,,XHU:297_Cortex_10w
68,EGAD00001006049,EGAF00003058152,EGAX00002039565,EGAN00002408177,10X97_4,,BRC2021_Ventral_midbrain_8w
