,EGAD,EGAF,EGAX,EGAN,AUTHOR_ID,LIBRARY_TYPE,DESCRIPTION
0,EGAD00001009386,EGAF00007021563,EGAX00002893803,EGAN00002814594,HD_F_GON9460407,Chromium single cell 5 prime,
1,EGAD00001009386,EGAF00007021564,EGAX00002893804,EGAN00002814594,HD_F_GON9460407,Chromium single cell 5 prime,
2,EGAD00001009386,EGAF00007021565,EGAX00002893805,EGAN00002814594,HD_F_GON9460407,Chromium single cell 5 prime,
3,EGAD00001009386,EGAF00007021566,EGAX00002893806,EGAN00002814595,HD_F_GON9460408,Chromium single cell 5 prime,
4,EGAD00001009386,EGAF00007021567,EGAX00002893807,EGAN00002814595,HD_F_GON9460408,Chromium single cell 5 prime,
5,EGAD00001009386,EGAF00007021568,EGAX00002893808,EGAN00002814595,HD_F_GON9460408,Chromium single cell 5 prime,
6,EGAD00001009386,EGAF00007021569,EGAX00002893809,EGAN00002814595,HD_F_GON9460408,Chromium single cell 5 prime,
7,EGAD00001009386,EGAF00007021570,EGAX00002893798,EGAN00002814593,HD_F_GON9460406,Chromium single cell 5 prime,
8,EGAD00001009386,EGAF00007021571,EGAX00002893799,EGAN00002814593,HD_F_GON9460406,Chromium single cell 5 prime,
9,EGAD00001009386,EGAF00007021572,EGAX00002893800,EGAN00002814593,HD_F_GON9460406,Chromium single cell 5 prime,
10,EGAD00001009386,EGAF00007021573,EGAX00002893801,EGAN00002814593,HD_F_GON9460406,Chromium single cell 5 prime,
11,EGAD00001009386,EGAF00007021574,EGAX00002893802,EGAN00002814594,HD_F_GON9460407,Chromium single cell 5 prime,
12,EGAD00001009386,EGAF00007021575,EGAX00002893815,EGAN00002827588,HD_F_GON9479969,Chromium single cell 5 prime,
13,EGAD00001009386,EGAF00007021576,EGAX00002893816,EGAN00002827588,HD_F_GON9479969,Chromium single cell 5 prime,
14,EGAD00001009386,EGAF00007021577,EGAX00002893817,EGAN00002827588,HD_F_GON9479969,Chromium single cell 5 prime,
15,EGAD00001009386,EGAF00007021578,EGAX00002893818,EGAN00002827589,HD_F_GON9479970,Chromium single cell 5 prime,
16,EGAD00001009386,EGAF00007021579,EGAX00002893819,EGAN00002827589,HD_F_GON9479970,Chromium single cell 5 prime,
17,EGAD00001009386,EGAF00007021580,EGAX00002893820,EGAN00002827589,HD_F_GON9479970,Chromium single cell 5 prime,
18,EGAD00001009386,EGAF00007021581,EGAX00002893821,EGAN00002827589,HD_F_GON9479970,Chromium single cell 5 prime,
19,EGAD00001009386,EGAF00007021582,EGAX00002893810,EGAN00002827587,HD_F_GON9479968,Chromium single cell 5 prime,
20,EGAD00001009386,EGAF00007021583,EGAX00002893811,EGAN00002827587,HD_F_GON9479968,Chromium single cell 5 prime,
21,EGAD00001009386,EGAF00007021584,EGAX00002893812,EGAN00002827587,HD_F_GON9479968,Chromium single cell 5 prime,
22,EGAD00001009386,EGAF00007021585,EGAX00002893813,EGAN00002827587,HD_F_GON9479968,Chromium single cell 5 prime,
23,EGAD00001009386,EGAF00007021586,EGAX00002893814,EGAN00002827588,HD_F_GON9479969,Chromium single cell 5 prime,
24,EGAD00001009386,EGAF00007021587,EGAX00002893827,EGAN00002827590,HD_F_GON9480063,Chromium single cell 5 prime,
25,EGAD00001009386,EGAF00007021588,EGAX00002893828,EGAN00002827590,HD_F_GON9480063,Chromium single cell 5 prime,
26,EGAD00001009386,EGAF00007021589,EGAX00002893829,EGAN00002827590,HD_F_GON9480063,Chromium single cell 5 prime,
27,EGAD00001009386,EGAF00007021590,EGAX00002893830,EGAN00002827591,HD_F_GON9480064,Chromium single cell 5 prime,
28,EGAD00001009386,EGAF00007021591,EGAX00002893831,EGAN00002827591,HD_F_GON9480064,Chromium single cell 5 prime,
29,EGAD00001009386,EGAF00007021592,EGAX00002893832,EGAN00002827591,HD_F_GON9480064,Chromium single cell 5 prime,
