,run_accession,study_accession,experiment_accession,sample_accession,secondary_sample_accession,sample_title
0,ERR4969473,PRJEB41514,ERX4788610,SAMEA7666916,ERS5423913,homo sapiens
1,ERR4969476,PRJEB41514,ERX4788613,SAMEA7666919,ERS5423915,homo sapiens
2,ERR4969477,PRJEB41514,ERX4788614,SAMEA7666919,ERS5423915,homo sapiens
3,ERR4969480,PRJEB41514,ERX4788617,SAMEA7666917,ERS5423914,homo sapiens
4,ERR4969481,PRJEB41514,ERX4788618,SAMEA7666917,ERS5423914,homo sapiens
5,ERR4969483,PRJEB41514,ERX4788620,SAMEA7666920,ERS5423916,homo sapiens
6,ERR4969486,PRJEB41514,ERX4788623,SAMEA7666920,ERS5423916,homo sapiens
7,ERR4969503,PRJEB41514,ERX4788640,SAMEA7666916,ERS5423913,homo sapiens
8,ERR4969505,PRJEB41514,ERX4788642,SAMEA7666916,ERS5423913,homo sapiens
9,ERR4969511,PRJEB41514,ERX4788648,SAMEA7666917,ERS5423914,homo sapiens
10,ERR4969512,PRJEB41514,ERX4788649,SAMEA7666917,ERS5423914,homo sapiens
11,ERR4969513,PRJEB41514,ERX4788650,SAMEA7666917,ERS5423914,homo sapiens
12,ERR4969518,PRJEB41514,ERX4788655,SAMEA7666920,ERS5423916,homo sapiens
13,ERR4969520,PRJEB41514,ERX4788657,SAMEA7666921,ERS5423917,homo sapiens
14,ERR4969522,PRJEB41514,ERX4788659,SAMEA7666921,ERS5423917,homo sapiens
15,ERR4969530,PRJEB41514,ERX4788667,SAMEA7666922,ERS5423918,homo sapiens
16,ERR4969531,PRJEB41514,ERX4788668,SAMEA7666924,ERS5423920,homo sapiens
17,ERR4969532,PRJEB41514,ERX4788669,SAMEA7666924,ERS5423920,homo sapiens
18,ERR4969533,PRJEB41514,ERX4788670,SAMEA7666924,ERS5423920,homo sapiens
19,ERR6178370,PRJEB41514,ERX5814809,SAMEA8575043,ERS6259708,WSSS_F_BON10188628
20,ERR6178372,PRJEB41514,ERX5814811,SAMEA8575043,ERS6259708,WSSS_F_BON10188628
21,ERR6178374,PRJEB41514,ERX5814813,SAMEA8575045,ERS6259710,WSSS_F_BON10188629
22,ERR6178377,PRJEB41514,ERX5814816,SAMEA8575045,ERS6259710,WSSS_F_BON10188629
23,ERR6178382,PRJEB41514,ERX5814821,SAMEA8575046,ERS6259711,WSSS_F_BON10188631
24,ERR6178384,PRJEB41514,ERX5814823,SAMEA8575046,ERS6259711,WSSS_F_BON10188631
25,ERR6178385,PRJEB41514,ERX5814824,SAMEA8575046,ERS6259711,WSSS_F_BON10188631
26,ERR4969474,PRJEB41514,ERX4788611,SAMEA7666916,ERS5423913,homo sapiens
27,ERR4969475,PRJEB41514,ERX4788612,SAMEA7666919,ERS5423915,homo sapiens
28,ERR4969482,PRJEB41514,ERX4788619,SAMEA7666917,ERS5423914,homo sapiens
29,ERR4969484,PRJEB41514,ERX4788621,SAMEA7666920,ERS5423916,homo sapiens
30,ERR4969487,PRJEB41514,ERX4788624,SAMEA7666921,ERS5423917,homo sapiens
31,ERR4969488,PRJEB41514,ERX4788625,SAMEA7666921,ERS5423917,homo sapiens
32,ERR4969489,PRJEB41514,ERX4788626,SAMEA7666921,ERS5423917,homo sapiens
33,ERR4969491,PRJEB41514,ERX4788628,SAMEA7666923,ERS5423919,homo sapiens
34,ERR4969492,PRJEB41514,ERX4788629,SAMEA7666923,ERS5423919,homo sapiens
35,ERR4969493,PRJEB41514,ERX4788630,SAMEA7666923,ERS5423919,homo sapiens
36,ERR4969494,PRJEB41514,ERX4788631,SAMEA7666923,ERS5423919,homo sapiens
37,ERR4969495,PRJEB41514,ERX4788632,SAMEA7666922,ERS5423918,homo sapiens
38,ERR4969497,PRJEB41514,ERX4788634,SAMEA7666922,ERS5423918,homo sapiens
39,ERR4969500,PRJEB41514,ERX4788637,SAMEA7666924,ERS5423920,homo sapiens
40,ERR4969504,PRJEB41514,ERX4788641,SAMEA7666916,ERS5423913,homo sapiens
41,ERR4969506,PRJEB41514,ERX4788643,SAMEA7666916,ERS5423913,homo sapiens
42,ERR4969507,PRJEB41514,ERX4788644,SAMEA7666919,ERS5423915,homo sapiens
43,ERR4969508,PRJEB41514,ERX4788645,SAMEA7666919,ERS5423915,homo sapiens
44,ERR4969514,PRJEB41514,ERX4788651,SAMEA7666917,ERS5423914,homo sapiens
45,ERR4969515,PRJEB41514,ERX4788652,SAMEA7666920,ERS5423916,homo sapiens
46,ERR4969516,PRJEB41514,ERX4788653,SAMEA7666920,ERS5423916,homo sapiens
47,ERR4969521,PRJEB41514,ERX4788658,SAMEA7666921,ERS5423917,homo sapiens
48,ERR4969523,PRJEB41514,ERX4788660,SAMEA7666923,ERS5423919,homo sapiens
49,ERR4969525,PRJEB41514,ERX4788662,SAMEA7666923,ERS5423919,homo sapiens
50,ERR4969526,PRJEB41514,ERX4788663,SAMEA7666923,ERS5423919,homo sapiens
51,ERR4969527,PRJEB41514,ERX4788664,SAMEA7666922,ERS5423918,homo sapiens
52,ERR4969529,PRJEB41514,ERX4788666,SAMEA7666922,ERS5423918,homo sapiens
53,ERR4969534,PRJEB41514,ERX4788671,SAMEA7666924,ERS5423920,homo sapiens
54,ERR6178371,PRJEB41514,ERX5814810,SAMEA8575043,ERS6259708,WSSS_F_BON10188628
55,ERR6178375,PRJEB41514,ERX5814814,SAMEA8575045,ERS6259710,WSSS_F_BON10188629
56,ERR6178376,PRJEB41514,ERX5814815,SAMEA8575045,ERS6259710,WSSS_F_BON10188629
57,ERR6178381,PRJEB41514,ERX5814820,SAMEA8575044,ERS6259709,WSSS_F_BON10188630
58,ERR6178383,PRJEB41514,ERX5814822,SAMEA8575046,ERS6259711,WSSS_F_BON10188631
59,ERR4969471,PRJEB41514,ERX4788608,SAMEA7666916,ERS5423913,homo sapiens
60,ERR4969472,PRJEB41514,ERX4788609,SAMEA7666916,ERS5423913,homo sapiens
61,ERR4969478,PRJEB41514,ERX4788615,SAMEA7666919,ERS5423915,homo sapiens
62,ERR4969479,PRJEB41514,ERX4788616,SAMEA7666917,ERS5423914,homo sapiens
63,ERR4969485,PRJEB41514,ERX4788622,SAMEA7666920,ERS5423916,homo sapiens
64,ERR4969490,PRJEB41514,ERX4788627,SAMEA7666921,ERS5423917,homo sapiens
65,ERR4969496,PRJEB41514,ERX4788633,SAMEA7666922,ERS5423918,homo sapiens
66,ERR4969498,PRJEB41514,ERX4788635,SAMEA7666922,ERS5423918,homo sapiens
67,ERR4969499,PRJEB41514,ERX4788636,SAMEA7666924,ERS5423920,homo sapiens
68,ERR4969501,PRJEB41514,ERX4788638,SAMEA7666924,ERS5423920,homo sapiens
69,ERR4969502,PRJEB41514,ERX4788639,SAMEA7666924,ERS5423920,homo sapiens
70,ERR4969509,PRJEB41514,ERX4788646,SAMEA7666919,ERS5423915,homo sapiens
71,ERR4969510,PRJEB41514,ERX4788647,SAMEA7666919,ERS5423915,homo sapiens
72,ERR4969517,PRJEB41514,ERX4788654,SAMEA7666920,ERS5423916,homo sapiens
73,ERR4969519,PRJEB41514,ERX4788656,SAMEA7666921,ERS5423917,homo sapiens
74,ERR4969524,PRJEB41514,ERX4788661,SAMEA7666923,ERS5423919,homo sapiens
75,ERR4969528,PRJEB41514,ERX4788665,SAMEA7666922,ERS5423918,homo sapiens
76,ERR6178373,PRJEB41514,ERX5814812,SAMEA8575043,ERS6259708,WSSS_F_BON10188628
77,ERR6178378,PRJEB41514,ERX5814817,SAMEA8575044,ERS6259709,WSSS_F_BON10188630
78,ERR6178379,PRJEB41514,ERX5814818,SAMEA8575044,ERS6259709,WSSS_F_BON10188630
79,ERR6178380,PRJEB41514,ERX5814819,SAMEA8575044,ERS6259709,WSSS_F_BON10188630
