,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[input sample],Characteristics[protocol],Characteristics[paired library],Characteristics[individual],Characteristics[sex],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[developmental stage],Characteristics[disease],Characteristics[organism part],Characteristics[organism],Material Type,Protocol REF,Performer,Protocol REF.1,Performer.1,Protocol REF.2,Performer.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[single cell isolation],Comment[spike in],Comment[cell barcode read],Comment[cell barcode offset],Comment[cell barcode size],Comment[umi barcode read],Comment[umi barcode offset],Comment[umi barcode size],Comment[cDNA read],Comment[cDNA read offset],Comment[cDNA read size],Comment[sample barcode read],Comment[sample barcode offset],Comment[sample barcode size],Protocol REF.3,Performer.3,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[read_type],Comment[read_index],Protocol REF.4,Protocol REF.5,Derived Array Data File,Protocol REF.6,Protocol REF.7,Derived Array Data File.1,Protocol REF.8,Protocol REF.9,Derived Array Data File.2,Protocol REF.10,Protocol REF.11,Derived Array Data File.3,Protocol REF.12,Protocol REF.13,Derived Array Data File.4,Protocol REF.14,Protocol REF.15,Derived Array Data File.5,Factor Value[sex],Factor Value[age],Unit[time unit].1,Term Source REF.1,Term Accession Number.1,Factor Value[developmental stage],Factor Value[single cell identifier]
40,HCA_F_GON10535495,ERS16192281,SAMEA114211596,Hrv92-GON-0-SC-1-m,rna,HCA_F_GON10535399,Hrv92,female,8.6,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10535495,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10535495,sequencing assay,ERX11168221,HCA_F_GON10535495_S1_L001_R1_001.fastq.gz,HCA_F_GON10535495_S1_L001_R1_001.fastq.gz,ERR11769377,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769377/HCA_F_GON10535495_S1_L001_R1_001.fastq.gz,"cell_barcode,umi_barcode",read1,P-MTAB-121426,P-MTAB-121427,HCA_F_GON10535495_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,HCA_F_GON10535495_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,HCA_F_GON10535495_features.tsv.gz,,,,,,,,,,female,8.6,week,EFO,UO_0000034,8.6,HCA_F_GON10535495
41,HCA_F_GON10535495,ERS16192281,SAMEA114211596,Hrv92-GON-0-SC-1-m,rna,HCA_F_GON10535399,Hrv92,female,8.6,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10535495,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10535495,sequencing assay,ERX11168221,HCA_F_GON10535495_S1_L001_R2_001.fastq.gz,HCA_F_GON10535495_S1_L001_R2_001.fastq.gz,ERR11769377,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769377/HCA_F_GON10535495_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-121426,P-MTAB-121427,HCA_F_GON10535495_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,HCA_F_GON10535495_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,HCA_F_GON10535495_features.tsv.gz,,,,,,,,,,female,8.6,week,EFO,UO_0000034,8.6,HCA_F_GON10535495
42,HCA_F_GON10687818,ERS16192282,SAMEA114211597,F91-GON-0-FO-1a-m,atac,HCA_F_GON10713284,Hrv91,female,13.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,sequencing assay,ERX11168222,HCA_F_GON10687818_S1_L001_I1_001.fastq.gz,HCA_F_GON10687818_S1_L001_I1_001.fastq.gz,ERR11769387,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769387/HCA_F_GON10687818_S1_L001_I1_001.fastq.gz,sample_barcode,index1,,,,,,,,,,,,,,,,,,,female,13.0,week,EFO,UO_0000034,13.0,HCA_F_GON10687818
43,HCA_F_GON10687818,ERS16192282,SAMEA114211597,F91-GON-0-FO-1a-m,atac,HCA_F_GON10713284,Hrv91,female,13.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,sequencing assay,ERX11168222,HCA_F_GON10687818_S1_L001_R1_001.fastq.gz,HCA_F_GON10687818_S1_L001_R1_001.fastq.gz,ERR11769387,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769387/HCA_F_GON10687818_S1_L001_R1_001.fastq.gz,paired,read1,,,,,,,,,,,,,,,,,,,female,13.0,week,EFO,UO_0000034,13.0,HCA_F_GON10687818
44,HCA_F_GON10687818,ERS16192282,SAMEA114211597,F91-GON-0-FO-1a-m,atac,HCA_F_GON10713284,Hrv91,female,13.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,sequencing assay,ERX11168222,HCA_F_GON10687818_S1_L001_R2_001.fastq.gz,HCA_F_GON10687818_S1_L001_R2_001.fastq.gz,ERR11769387,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769387/HCA_F_GON10687818_S1_L001_R2_001.fastq.gz,cell_barcode,index2,,,,,,,,,,,,,,,,,,,female,13.0,week,EFO,UO_0000034,13.0,HCA_F_GON10687818
45,HCA_F_GON10687818,ERS16192282,SAMEA114211597,F91-GON-0-FO-1a-m,atac,HCA_F_GON10713284,Hrv91,female,13.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687818,sequencing assay,ERX11168222,HCA_F_GON10687818_S1_L001_R3_001.fastq.gz,HCA_F_GON10687818_S1_L001_R3_001.fastq.gz,ERR11769387,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769387/HCA_F_GON10687818_S1_L001_R3_001.fastq.gz,paired,read2,,,,,,,,,,,,,,,,,,,female,13.0,week,EFO,UO_0000034,13.0,HCA_F_GON10687818
46,HCA_F_GON10687819,ERS16192283,SAMEA114211598,Hrv3-GON-0-FO-1a-m,atac,HCA_F_GON10713285,Hrv3,male,19.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,sequencing assay,ERX11168223,HCA_F_GON10687819_S1_L001_I1_001.fastq.gz,HCA_F_GON10687819_S1_L001_I1_001.fastq.gz,ERR11769380,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769380/HCA_F_GON10687819_S1_L001_I1_001.fastq.gz,sample_barcode,index1,,,,,,,,,,,,,,,,,,,male,19.0,week,EFO,UO_0000034,19.0,HCA_F_GON10687819
47,HCA_F_GON10687819,ERS16192283,SAMEA114211598,Hrv3-GON-0-FO-1a-m,atac,HCA_F_GON10713285,Hrv3,male,19.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,sequencing assay,ERX11168223,HCA_F_GON10687819_S1_L001_R1_001.fastq.gz,HCA_F_GON10687819_S1_L001_R1_001.fastq.gz,ERR11769380,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769380/HCA_F_GON10687819_S1_L001_R1_001.fastq.gz,paired,read1,,,,,,,,,,,,,,,,,,,male,19.0,week,EFO,UO_0000034,19.0,HCA_F_GON10687819
48,HCA_F_GON10687819,ERS16192283,SAMEA114211598,Hrv3-GON-0-FO-1a-m,atac,HCA_F_GON10713285,Hrv3,male,19.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,sequencing assay,ERX11168223,HCA_F_GON10687819_S1_L001_R2_001.fastq.gz,HCA_F_GON10687819_S1_L001_R2_001.fastq.gz,ERR11769380,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769380/HCA_F_GON10687819_S1_L001_R2_001.fastq.gz,cell_barcode,index2,,,,,,,,,,,,,,,,,,,male,19.0,week,EFO,UO_0000034,19.0,HCA_F_GON10687819
49,HCA_F_GON10687819,ERS16192283,SAMEA114211598,Hrv3-GON-0-FO-1a-m,atac,HCA_F_GON10713285,Hrv3,male,19.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,none,genomic DNA,other,other,10x,custom,,,,,,,,,,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",HCA_F_GON10687819,sequencing assay,ERX11168223,HCA_F_GON10687819_S1_L001_R3_001.fastq.gz,HCA_F_GON10687819_S1_L001_R3_001.fastq.gz,ERR11769380,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769380/HCA_F_GON10687819_S1_L001_R3_001.fastq.gz,paired,read2,,,,,,,,,,,,,,,,,,,male,19.0,week,EFO,UO_0000034,19.0,HCA_F_GON10687819
