Sample/ pool (submission ID),Sanger ID,Targeted cells ,Library type,Manifest request line,Manifest,RT-ticket,Plate/ Tube barcode,Date of sample collection from patient,Manifest submitted ,Date sample submitted,Run no. ,Platform,Read length,Total plex (no. samples in pool),#lanes,cDNA concentration (ng/µl),Index plate,Chromium tag well,QC status,Data analysis requested,iRods location
F218-WEM-0-SC-17_Rep2_P,HDBI_wEMB14781780,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,25.8,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781780_GRCh38-2020-A
F218-WEM-0-SC-24_Rep1_P,HDBI_wEMB14781781,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,19.3,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781781_GRCh38-2020-A
F218-WEM-0-SC-25_Rep1_P,HDBI_wEMB14781782,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,13.7,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781782_GRCh38-2020-A
F218-WEM-0-SC-26_Rep1_P,HDBI_wEMB14781783,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,13,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781783_GRCh38-2020-A
F218-WEM-0-SC-31_Rep1_P,HDBI_wEMB14781784,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,17.9,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781784_GRCh38-2020-A
F218-WEM-0-SC-32_Rep1_P,HDBI_wEMB14781785,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,14.2,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781785_GRCh38-2020-A
F218-WEM-0-SC-3_Rep1_P,HDBI_wEMB14781786,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,8.96,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781786_GRCh38-2020-A
F218-WEM-0-SC-3_Rep2_P,HDBI_wEMB14781787,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,9.09,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781787_GRCh38-2020-A
F218-WEM-0-SC-3_Rep3_P,HDBI_wEMB14781788,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,9.35,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781788_GRCh38-2020-A
F218-WEM-0-SC-5_Rep1_P,HDBI_wEMB14781789,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,15.6,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781789_GRCh38-2020-A
F218-WEM-0-SC-5_Rep2_P,HDBI_wEMB14781790,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,16,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781790_GRCh38-2020-A
F218-WEM-0-SC-5_Rep3_P,HDBI_wEMB14781791,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,11.8,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781791_GRCh38-2020-A
F218-WEM-0-SC-12_Rep1_P,HDBI_wEMB14781792,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,13,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781792_GRCh38-2020-A
F218-WEM-0-SC-12_Rep2_P,HDBI_wEMB14781793,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,12.2,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781793_GRCh38-2020-A
F218-WEM-0-SC-11_Rep1_P,HDBI_wEMB14781794,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,21.5,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781794_GRCh38-2020-A
F218-WEM-0-SC-13_Rep1_P,HDBI_wEMB14781795,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,33.1,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781795_GRCh38-2020-A
F218-WEM-0-SC-20_Rep1_P,HDBI_wEMB14781796,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,34.9,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781796_GRCh38-2020-A
F218-WEM-0-SC-20_Rep2_P,HDBI_wEMB14781797,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,34.9,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781797_GRCh38-2020-A
F218-WEM-0-SC-27_Rep1_P,HDBI_wEMB14781798,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,21.1,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781798_GRCh38-2020-A
F218-WEM-0-SC-28_Rep1_P,HDBI_wEMB14781799,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,27.2,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781799_GRCh38-2020-A
F218-WEM-0-SC-29_Rep1_P,HDBI_wEMB14781800,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,24.1,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781800_GRCh38-2020-A
F218-WEM-0-SC-30_Rep1_P,HDBI_wEMB14781801,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,16.4,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781801_GRCh38-2020-A
